young_dragon_armor;Броня Юного Дракона;x
young_dragon_armor_desc;Дейрон Юный Дракон владел искусной броней из золотых и черных пластин;x
fossoway_armor_brown;Броня Червивого Яблока;x
fossoway_armor_brown_desc;Броня в традиционном стиле дома Фоссовеев Красного Яблока из Сидрхолла, но с червивым яблоком. Сделана из прочных серых стальных пластин, с ронделями в форме яблок, покрытыми коричневой эмалью, с нагрудником, покрытым золотой эмалью, с темно-коричневым яблоком на нем. Плащ из золотой парчи перекинут через плечо;x
mirror_shield;Зеркальный Щит;x
mirror_shield_desc;Предположительо, щит, который Сервин использовал чтобы победить дракона Урракса. С тех пор он передавался из поколения в поколение;x
mountains_helm;Шлем Горы;x
mountains_helm_desc;Шлем Горы сделан из уродливого, но крепкого металла. Поверх шлема находится каменный кулак, устремленный в небо;x
mountains_sword;Двуручный меч Горы;x
mountains_sword_desc;Гора выбрал двуручное оружие шести футов, которое дает ему огромную досягаемость;x
rainbow_armor;Радужная Броня;x
rainbow_armor_desc;Предположительно, эта броня была создана самими Семерыми, и была дарована Радужному Рыцарю. С тех пор она передавалась из поколения в поколение;x
redtusk_armor;Броня Красного Бивня;x
redtusk_armor_desc;Броня в традиционном стиле дома Крейкхолл из Крейкхолла, но носит красного кабана младшей ветви. Сделана из прочных серых пластин с бронзой, с нагрудником, покрытым коричневой эмалью, и с большим пятнистым кабаном на нем. Коричневый плащ перекинут через плечо. Крейкхоллы известны своей силой, потому эта броня очень большая;x
staff_stareyes;Посох Звездоглазого;x
staff_stareyes_desc;Предположительно, это посох Симеона Звездоглазого, который он использовал против адских псов. Лезвия на обоих концах сделаны из валирийской стали, а древко из кости;x
windrider;Ветроход;x
windrider_desc;Ветроход, личный корабль знаменитого корабела Мальтара Ксака. Этот корабль считается одним из величайших когда-либо построенных;x
sunchaser;Летящий за солнцем;x
sunchaser_desc;Летящий за солнцем это браавосский корабль, построенный для леди Элиссы Фарман, которая использовала имя "Алис Вестхилл". Летящий за солнцем был создан для открытого моря, и в отличие от большинства браавосских кораблей, безвесельный. Вместо этого, он имеет четыре мачты, множество парусов, и более глубокую осадку для провизии;x
dragonknight_helm;Шлем Рыцаря-Дракона;x
dragon_helm_desc;Шлем Эймона Таргариена, Рыцаря-Дракона. Гребень шлема выполнен в форме трехглавого дракона Таргариенов из белого золота;x
targaryen_helmet;Шлем Таргариенов;x
targaryen_helmet_desc;Шлем в традиционном стиле дома Таргариен, сделанный из черной стали, с драконом в гребне и парой больших драконьих крыльев, выступающих по сторонам шлема. Потоки желтого, оранжевого и красного шелка должны напоминать пламя;x
hightower_helmet;Шлем Хайтауэров;x
hightower_helmet_desc;Шлем в традиционном стиле дома Хайтауэр, сделанный из стали, с башней наверху шлема, напоминающую Высокую башню Староместа;x
stag_durrandon_helmet;Шлем Оленя;x
stag_durrandon_helmet_desc;Шлем в традиционном стиле дома Дюррандон, сделанный из стали, и увенчанный двумя большими рогами;x
stag_baratheon_helmet;Шлем Оленя;x
stag_baratheon_helmet_desc;Шлем в традиционном стиле дома Баратеон, сделанный из стали, и увенчанный двумя большими рогами;x

