ca_peasant_commune_1;Крестьянская община;x
ca_peasant_commune_1_desc;Император издал ряд земельных реформ чтобы обеспечить крестьян в провинции своими владениями, и чтобы начать сооружение канав и оросительных систем. Благодаря этому появилась маленькая, но плодотворная община независимых крестьян-земельдельцев, свободных от требований аристократии;x
ca_peasant_commune_2;Растущая Крестьянская община;x
ca_peasant_commune_2_desc;С развитием оросительных систем и укреплением крестьянских прав, крестьянская община заметно выросла, она поддерживает больше домашних хозяйств и становится более продуктивной;x
ca_peasant_commune_3;Крупная Крестьянская община;x
ca_peasant_commune_3_desc;Сейчас, в крупной и стабильной общине, в своем собственном праве, крестьяне многочисленны и продуктивны, они начали создавать оживленные рынки чтобы продавать свои товары и налаживать торговые связи с близлежащими городами;x
ca_peasant_commune_4;Фермерский городок;x
ca_peasant_commune_4_desc;Теперь, как самостоятельный городок, крестьянская община очень продуктивна и продолжает расти под защитой Императора и его земельных реформ;x
ca_peasant_commune_5;Крупный фермерский город;x
ca_peasant_commune_5_desc;Теперь, как самостоятельный город, крестьянская община очень продуктивна и продолжает расти под защитой Императора и его земельных реформ. Он способен выплачивать значительные налоговые поступления и поддерживать многочисленное ополчение во времена войны;x
#
ca_bloodline_irigation_1;Оросительная система;x
ca_bloodline_irigation_1_desc;Обширная система шлюзов, рвов и сточных канав позволяет более эффективно орошать поля и позволяет большему количеству крестьян обрабатывать землю;x
ca_bloodline_irigation_2;Большая Оросительная система;x
ca_bloodline_irigation_2_desc;Сейчас оросительная система очень обширна, она позволяет еще более эффективно орошать поля и позволяет еще большему количеству крестьян обрабатывать землю;x
#
ca_bloodline_school_1;Имперская школа;x
ca_bloodline_school_1_desc;Император издал указ о расширении Имперской Бюрократии и решил основать новую Имперскую школу чтобы учить бюрократов служить Золотой Империи И-Ти;x
ca_bloodline_school_2;Имперская академия;x
ca_bloodline_school_2_desc;По мере того, как все больше и больше школяров идут в Имперскую школу, она разрослась и стала Имперской академией, которая выпускает больше опытных бюрократов и даже обучает некоторых студентов военному делу;x
ca_bloodline_school_3;Великая Имперская академия;x
ca_bloodline_school_3_desc;Знаменитая по всей империи эта Великая Имперская академия выпускают бюрократов высшего качества, офицеры, чиновники и дипломаты учатся здесь служить империи с достоинством, а военные студенты являют собой устрашающее войско;x
#
ca_bloodline_embassy_1;Имперское посольство;x
ca_bloodline_embassy_1_desc;Император посчитал нужным создать дом для разнообразных послов, чтобы дать им и их свите некоторое уединение для решения дел и вопросов;x
ca_bloodline_embassy_2;Великое Имперское посольство;x
ca_bloodline_embassy_2_desc;По мере того, как все больше и больше иностранных сановников приходят отдать дань уважения Императору, их нужды увеличиваются. Как следствие, их дом вырос в крупный комплекс, c установленными зонами для каждой делегации;x
ca_bloodline_embassy_3;Квартал Посольств;x
ca_bloodline_embassy_3_desc;Число послов и сановников из других земель выросло еще больше, и целый квартал города был отдан им и их страже, слугам, и секретарям;x
ca_bloodline_merchant_q_1;Торговый пост иностранцев;x
ca_bloodline_merchant_q_1_desc;Малая группа иностранных торговцев, продающих свои товары под покровительством Бога-Императора;x
ca_bloodline_merchant_q_2;Община иностранных торговцев;x
ca_bloodline_merchant_q_2_desc;Иностранцы собрались в довольно значительную группу торговых постов, магазинов, и складов, создав ценный экономический ресурс;x
ca_bloodline_merchant_q_3;Квартал иностранных торговцев;x
ca_bloodline_merchant_q_3_desc;Сейчас иностранцы образовывают целый городской квартал. Он гудит от разнообразия языков торговцев, продающих свои товары - все под великодушной защитой Бога-Императора Золотой Империи. Хотя некоторые бормочут о том, что империи было бы лучше без всяких иностранцев, загрязняющих улицы;x
#
ca_bloodline_zorse_pens_1;Малые загоны зебр;x
ca_bloodline_zorse_pens_1_desc;Хоть Император и правит И-Ти, он смог наладить крепкую связь с равнинами Джогос-Нхай, и создал маленькое поселение для джогоснхайцев и их зебр - оно способно выставить ряд застрельщиков и наездников на зебрах, которые будут биться за Императора во времена войны;x
ca_bloodline_zorse_pens_2;Загоны зебр;x
ca_bloodline_zorse_pens_2_desc;Хоть Император и правит И-Ти, он смог наладить крепкую связь с равнинами Джогос-Нхай, и создал поселение для джогоснхайцев и их зебр - оно способно выставить ряды застрельщиков и наездников на зебрах, которые будут биться за Императора во времена войны;x
ca_bloodline_zorse_pens_3;Стойла зебр;x
ca_bloodline_zorse_pens_3_desc;Хоть Император и правит И-Ти, он смог наладить крепкую связь с равнинами Джогос-Нхай, и создал крупное поселение для джогоснхайцев и стойла для разведения их зебр. Этот комплекс способен выставить значительные силы застрельщиков и наездников на зебрах, которые будут биться за Императора во времена войны;x



